description,assigned_team
"Problem. Hey, It keeps failing with an error message I don't understand. When can this be fixed?",Applications
"Urgent: the company VPN client install. Hey, Windows update has been stuck installing for two days, can't use the laptop. Can you take a look?",Endpoint Management
"Help needed — a phishing email. Hi team, A phishing email that quarantined my file. When can this be fixed?",Security
"an expired TLS certificate. Good morning, Got an alert that someone signed into my account from Brazil at 3am. Can you take a look?",Security
"Problem: a distribution list. Hi, A distribution list lost access for half the team.",Email & Collaboration
"Urgent. Hey, I'm being refused access to files I'm supposed to see. Can you take a look?",Identity & Access
"Issue with the timesheet tool. Hey, The ERP rejects my purchase order with a validation error every time. Appreciate any help.",Applications
"Request: my laptop. Hi team, The printer on the 2nd floor keeps jamming on every print job. Also, my laptop makes a clicking noise on startup. Thanks in advance.",Hardware
"Request: my voicemail. Hi team, Please set up a new extension and voicemail box for a new starter. Appreciate any help.",Telephony
"Issue. Good morning, It takes forever to load anything since this morning. Appreciate any help.",Database
"my account. Hello, My account needs admin rights for the deployment tool. When can this be fixed?",Identity & Access
"Request: the OS upgrade. Hi team, After the latest patch my laptop boots to a black screen. Also, the OS upgrade is stuck at 0% and won't finish. Let me know what's needed.",Endpoint Management
"Problem: the external monitor. Hello, The external monitor has keys that stopped working. Let me know what's needed.",Hardware
"Question. Good morning, The screen keeps going black and I have to restart constantly. Let me know what's needed.",Endpoint Management
"internet access. Good morning, Internet access keeps dropping every few minutes. Can you take a look?",Network
"Problem: my voicemail. Good morning, My voicemail has terrible audio quality. Also, my voicemail has terrible audio quality.",Telephony
"Problem: disk encryption (BitLocker). Hi team, Disk encryption (bitlocker) isn't compliant in the management console. Also, disk encryption (BitLocker) is forcing a restart in the middle of meetings.",Endpoint Management
"Urgent: my headset. Hello, Requesting a second monitor and a docking station for my new desk. Can you take a look?",Hardware
"Urgent: a phishing email. Hi team, A phishing email that looks like account takeover.",Security
"Problem. Hello, Can't get onto the company network from home this morning. Let me know what's needed.",Network
"Request: the internal HR portal. Good morning, Please install the latest version of the design suite on my machine.",Applications
"Question about the design software license. Hi team, Please install the latest version of the design suite on my machine. Let me know what's needed.",Applications
"the expense app. Good morning, Please install the latest version of the design suite on my machine. Please advise.",Applications
